USSCIDN,OFFGUIDE,SENTRNGE,MNTHDEPT,PCNTDEPT,SENTTCAP,SENSPCAP
2146403,17,0,,,0.0328515112,0.0328515112
2146404,13,7,2.44,16.266666667,6.56,12.56
2146405,17,0,,,3.43,3.43
2146406,16,8,5.97,33.166666667,12.03,12.03
2146407,13,0,,,180,180
2146408,17,0,,,1.23,1.23
2146409,17,3,7.9671484888,99.58935611,0.0328515112,0.0328515112
2146410,10,7,6,10.526315789,51,51
2146411,17,0,,,2.56,2.56
2146412,17,0,,,3.85,3.85
2146413,1,0,,,,0
2146414,17,0,,,10,10
2146415,25,0,,,6,12
2146417,13,7,17.97,59.9,12.03,12.03
2146513,10,0,,,87,87
2146514,21,0,,,30,30
2146515,26,0,,,46,46
2146516,10,7,10,14.285714286,60,60
2146517,22,0,,,470,470
2146519,13,0,,,33,33
2146520,10,0,,,144,144
2146521,5,8,24,6.6666666667,336,336
2146522,10,2,15,17.24137931,72,72
2146523,13,0,,,180,180
2146524,13,6,12,20,72,72
2146525,26,6,30,38.461538462,108,108
2146527,10,0,,,60,60
2146529,13,0,,,37,37
2146530,13,0,,,18,18
2146531,17,0,,,9.82,9.82
2146532,13,0,,,60,60
2146533,10,3,19,51.351351351,18,18
2146534,10,6,18,27.272727273,84,84
2146535,17,0,,,41,41
2146536,10,4,24,34.285714286,46,46
2146537,17,0,,,18,18
2146538,17,5,23,56.097560976,18,18
2146539,17,0,,,41,41
2146540,16,8,16,48.484848485,17,17
2146541,10,0,,,41,41
2146542,29,2,24,100,,0
2146543,16,0,,,24,24
2146544,17,5,19,70.37037037,8,8
2146545,17,5,33,57.894736842,24,24
2146546,17,0,,,16,16
2146547,30,0,,,,0
2146548,10,2,29.97,99.9,0.03,0.03
2146549,10,5,31,83.783783784,6,6
2146550,10,0,,,87,87
2146551,10,2,77.967148489,99.957882678,0.0328515112,0.0328515112
2146552,13,1,26,56.52173913,72,72
2146553,17,0,,,21,21
2146554,16,8,10,100,,0
2146555,16,8,4,100,,0
2146556,17,0,,,24,24
2146557,10,8,31,35.632183908,56,56
2146558,4,,,,3,3
2146559,16,0,,,33,33
2146560,16,0,,,18,18
2146561,10,8,28,75.675675676,3,9
2146562,15,8,5.97,49.75,0.03,6.03
2146563,10,3,23,56.097560976,18,18
2146564,10,3,14.67,61.125,9.33,9.33
2146565,21,5,25,10.638297872,210,210
2146566,16,0,,,50,50
2146567,10,2,13,18.571428571,57,57
2146569,17,0,,,4.1,4.1
2146570,30,0,,,,0
2146572,30,0,,,,0
2146573,16,2,70,100,,0
2146574,17,0,,,14,14
2146575,17,0,,,57,57
2146576,10,3,11.97,49.875,12.03,12.03
2146577,13,2,63,35,117,117
2146578,13,0,,,204,204
2146579,13,8,45.967148489,99.928583671,0.0328515112,0.0328515112
2146580,17,0,,,6,6
2146581,17,8,21,87.5,3,3
2146582,16,8,6,100,,0
2146583,5,0,,,30,30
2146584,21,2,121,80.132450331,30,30
2146585,13,8,10.77,71.8,4.23,4.23
2146586,13,2,6,100,,0
2146587,21,8,30,14.285714286,180,180
2146588,21,2,45.967148489,99.928583671,0.0328515112,0.0328515112
2146589,10,3,13,35.135135135,24,24
2146590,10,0,,,48,48
2146591,17,0,,,18,18
2146592,17,8,64,64,36,36
2146593,17,0,,,2,2
2146594,26,0,,,240,240
2146595,17,0,,,21,21
2146596,17,0,,,13,13
2146597,17,0,,,30,30
2146598,16,2,97,100,,0
2146599,17,3,1,100,,0
2146600,10,8,23,50,23,23
2146601,10,2,33,47.142857143,37,37
2146602,10,2,20,35.087719298,37,37
2146603,10,3,9,60,6,6
2146604,17,5,8,19.512195122,33,33
2146605,16,0,,,27,27
2146606,13,8,11,45.833333333,13,13
2146608,10,5,10,14.285714286,60,60
2146609,16,0,,,,0
2146610,17,,,,1.82,1.82
2146611,13,0,,,35,35
2146612,17,7,3,50,3,3
2146613,17,0,,,27,27
2146614,26,6,119,98.347107438,240,240
2146615,10,8,11.97,49.875,12.03,12.03
2146616,26,2,12,50,12,12
2146617,17,0,,,1.95,1.95
2146618,10,5,67,44.370860927,84,84
2146619,10,3,18,23.076923077,60,60
2146620,17,0,,,57,57
2146621,17,3,12,40,18,18
2146622,17,3,25,54.347826087,21,21
2146623,10,3,20,31.746031746,43,43
2146624,30,0,,,,0
2146625,10,2,54.51,77.871428571,15.49,15.49
2146626,30,0,,,,0
2146627,30,0,,,,0
2146628,10,3,6.05,33.611111111,11.95,11.95
2146629,21,2,150,71.428571429,60,60
2146630,27,0,,,470,470
2146631,29,8,12,23.529411765,39,39
2146632,13,8,4,8.6956521739,42,42
2146633,17,0,,,14,14
2146634,13,0,,,18,18
2146635,30,0,,,,0
2146636,30,0,,,,0
2146637,17,0,,,15,15
2146638,10,2,23,50,23,23
2146639,17,3,16,34.782608696,30,30
2146640,10,8,22,31.428571429,48,48
2146641,16,0,,,6,12
2146642,17,0,,,8.82,8.82
2146643,17,3,2,11.111111111,16,16
2146644,1,0,,,21,21
2146645,17,0,,,24,24
2146646,29,0,,,,0
2146647,16,0,,,42,42
2146648,10,3,33,52.380952381,30,30
2146649,13,0,,,84,84
2146650,10,4,90,42.857142857,120,120
2146651,26,0,,,180,180
2146652,16,8,,,,10
2146653,13,2,30,25,90,90
2146654,17,0,,,18,18
2146655,10,5,39.84,66.4,20.16,20.16
2146656,16,0,,,15,15
2146657,7,0,,,120,120
2146658,12,0,,,,0
2146659,13,0,,,205,205
2146660,16,0,,,,0
2146661,17,0,,,96,96
2146662,16,0,,,0.0328515112,0.0328515112
2146663,16,,,,0.76,0.76
2146664,17,0,,,6,6
2146665,16,0,,,24,24
2146666,17,0,,,4,4
2146667,7,8,27,27.835051546,70,70
2146668,13,0,,,27,27
2146669,17,3,15,100,,0
2146670,10,8,3,9.0909090909,30,30
2146671,17,5,17,26.984126984,46,46
2146672,17,3,6,20,24,24
2146673,17,0,,,37,37
2146674,10,7,12,14.285714286,72,72
2146675,10,3,62,57.407407407,46,46
2146676,17,3,9,37.5,15,15
2146677,17,0,,,24,24
2146678,10,3,28,60.869565217,18,18
2146679,16,0,,,24,24
2146680,10,5,5,9.8039215686,46,46
2146681,17,3,7.64,63.666666667,4.36,4.36
2146682,10,3,32,41.025641026,46,46
2146683,10,0,,,70,70
2146684,17,3,11.97,49.875,12.03,12.03
2146685,16,1,13,13.402061856,110,110
2146686,10,3,37,52.857142857,33,33
2146687,13,7,7,18.918918919,30,30
2146688,17,3,33,57.894736842,24,24
2146689,10,3,30,58.823529412,21,21
2146690,10,2,222,76.02739726,70,70
2146691,11,0,,,0.0328515112,0.0328515112
2146692,10,3,27,42.857142857,36,36
2146693,10,3,33,47.142857143,37,37
2146694,13,0,,,51,51
2146695,16,2,15,100,,0
2146696,16,8,44,36.666666667,76,76
2146698,16,0,,,51,51
2146699,30,0,,,,0
2146700,17,3,4,40,6,6
2146701,13,0,,,60,60
2146702,13,0,,,180,180
2146703,21,7,68,36.170212766,120,120
2146704,5,2,111,82.222222222,24,24
2146705,17,0,,,30,30
2146706,16,0,,,12,12
2146707,16,8,21,10,189,189
2146708,9,0,,,,0
2146709,17,0,,,30,30
2146710,10,2,45.967148489,99.928583671,0.0328515112,0.0328515112
2146711,17,5,18,75,6,6
2146712,27,0,,,360,360
2146714,16,0,,,,0
2146715,10,0,,,21,21
2146716,10,0,,,44,44
2146717,10,0,,,30,30
2146718,17,6,7,87.5,15,15
2146719,17,5,22,47.826086957,24,24
2146720,17,2,44.84,58.233766234,32.16,32.16
2146721,16,0,,,37,37
2146722,7,0,,,109,109
2146723,13,0,,,27,27
2146724,16,0,,,,0
2146725,10,0,,,37,37
2146726,17,3,3,12.5,21,21
2146727,13,0,,,84,84
2146728,29,8,4,16.666666667,16,20
2146729,13,0,,,27,27
2146730,10,0,,,48,48
2146731,16,2,12,100,,0
2146732,10,0,,,87,87
2146733,13,2,38,49.350649351,39,39
2146734,15,0,,,30,30
2146735,13,6,9,14.285714286,72,72
2146736,15,2,18,60,,12
2146737,16,7,38,82.608695652,,8
2146738,16,5,8.97,33.222222222,12.03,18.03
2146754,16,0,,,33,33
2146757,10,0,,,151,151
2146760,10,2,84,70,36,36
2146763,17,3,12,36.363636364,21,21
2146764,12,4,6,22.222222222,21,21
2146765,10,0,,,108,108
2146766,16,0,,,63,63
2146767,10,2,44,23.404255319,144,144
2146768,23,8,156,86.666666667,24,24
2146770,10,2,30,100,,0
2146771,10,5,30,17.857142857,138,138
2146772,21,0,,,30,30
2146773,17,0,,,19.33,19.33
2146774,16,2,21,36.842105263,36,36
2146775,17,8,13.93,46.433333333,16.07,16.07
2146776,16,0,,,,0
2146777,13,7,15,21.428571429,55,55
2146778,10,0,,,60,60
2146779,17,8,10,21.739130435,36,36
2146780,3,1,143,65.898617512,360,360
2146781,10,8,24,42.105263158,33,33
2146782,10,2,234.96714849,99.986020634,0.0328515112,0.0328515112
2146783,17,0,,,10,10
2146784,16,0,,,51,51
2146785,17,0,,,16,16
2146786,17,0,,,18,18
2146787,7,7,30,38.461538462,48,48
2146788,16,0,,,18,18
2146789,10,2,10,100,,0
2146790,29,7,12,100,,0
2146791,16,4,77.967148489,99.957882678,0.0328515112,0.0328515112
2146792,10,2,22,47.826086957,24,24
2146793,21,2,60,35.714285714,108,108
2146794,17,8,5.97,33.166666667,12.03,12.03
2146795,17,0,,,6.59,6.59
2146796,16,0,,,87,87
2146797,10,0,,,120,120
2146798,10,2,28,30.434782609,64,64
2146799,29,7,12,100,,0
2146800,17,8,17,41.463414634,24,24
2146801,17,0,,,,6
2146802,25,0,,,6,6
2146803,10,5,40,57.142857143,30,30
2146804,12,8,24,100,,0
2146805,16,0,,,48,48
2146806,17,0,,,15,15
2146807,10,3,34.64,75.304347826,11.36,11.36
2146808,17,8,17.97,59.9,12.03,12.03
2146809,10,1,1,1.4084507042,72,72
2146810,17,1,6,85.714285714,13,13
2146811,16,7,21,100,,0
2146812,7,7,31,20.529801325,120,120
2146813,10,2,76,50.331125828,75,75
2146814,26,8,61,62.886597938,36,36
2146815,10,0,,,120,120
2146816,10,2,30,25,90,90
2146818,16,0,,,,0
2146819,17,0,,,1.43,1.43
2146820,10,4,92,48.936170213,96,96
2146821,10,2,46,100,,0
2146822,4,7,12,40,18,18
2146823,7,8,39,76.470588235,,12
2146824,10,3,9.77,54.277777778,8.23,8.23
2146826,21,0,,,6,6
2146827,7,8,27,27.835051546,70,70
2146828,27,0,,,120,120
2146829,27,0,,,240,240
2146830,10,0,,,151,151
2146831,13,0,,,19,19
2146832,27,0,,,120,120
2146833,10,0,,,108,108
2146835,16,0,,,,6
2146836,26,8,10,14.285714286,60,60
2146837,17,0,,,0.0328515112,0.0328515112
2146838,7,0,,,120,120
2146839,16,0,,,21,21
2146840,13,0,,,21,21
2146841,10,0,,,37,37
2146842,16,0,,,,0
2146843,10,0,,,120,120
2146844,30,0,,,,0
2146846,13,2,3,20,12,12
2146847,10,2,19,39.583333333,29,29
2146848,26,2,22,34.920634921,41,41
2146849,27,0,,,324,324
2146850,6,0,,,18,18
2146852,16,0,,,,0
2146853,16,2,14,34.146341463,27,27
2146854,7,8,37,38.144329897,60,60
2146855,17,3,4,40,6,6
2146856,15,2,9.97,99.7,0.03,0.03
2146857,26,8,9,14.285714286,54,54
2146858,30,5,25,20.661157025,96,96
2146859,24,8,,,2,10
2146860,16,2,11,28.205128205,28,28
2146861,10,0,,,46,46
2146862,10,2,30.51,82.459459459,6.49,6.49
2146863,10,8,22,8.3969465649,240,240
2146864,16,0,,,,0
2146865,23,7,36,78.260869565,10,10
2146866,23,7,36,78.260869565,10,10
2146867,10,0,,,84,84
2146868,10,2,164,87.234042553,24,24
2146869,27,8,68,36.170212766,120,120
2146870,29,0,,,61,61
2146871,7,8,37,38.144329897,60,60
2146872,10,2,9.93,41.375,14.07,14.07
2146873,10,7,240,66.666666667,120,120
2146874,16,0,,,1,8
2146875,17,3,6,25,18,18
2146876,10,2,43,84.31372549,1,8
2146877,17,0,,,0.0328515112,0.0328515112
2146878,17,3,26,33.766233766,51,51
2146879,17,3,9,60,6,6
2146880,17,3,7.8,65,4.2,4.2
2146881,10,3,14,34.146341463,27,27
2146882,13,0,,,46,46
2146883,27,4,3,14.285714286,18,18
2146884,17,3,3.61,60.166666667,2.39,2.39
2146885,13,7,8,3.2258064516,240,240
2146886,17,0,,,2.13,2.13
2146887,27,4,51,47.222222222,57,57
2146888,10,2,57,65.517241379,30,30
2146889,17,3,37,52.857142857,33,33
2146890,10,3,12,50,12,12
2146891,17,3,6,40,9,9
2146892,17,0,,,2,2
2146893,16,5,11,36.666666667,19,19
2146894,10,3,18,35.294117647,33,33
2146895,17,3,19.93,43.326086957,26.07,26.07
2146896,10,3,7.74,64.5,4.26,4.26
2146897,10,3,40,57.142857143,30,30
2146898,10,0,,,27.43,27.43
2146899,10,0,,,168,168
2146900,10,3,21,41.176470588,30,30
2146901,10,0,,,168,168
2146902,13,0,,,15,15
2146903,17,3,28,60.869565217,18,18
2146904,10,3,7.9,79,2.1,2.1
2146905,16,8,21,28,54,54
2146906,15,0,,,18,18
2146907,17,3,12,80,3,3
2146908,17,0,,,8,8
2146909,24,8,9,33.333333333,18,18
2146910,13,0,,,84,84
2146911,17,8,33.97,73.847826087,12.03,12.03
2146912,16,0,,,,9
2146913,17,3,5,10.869565217,41,41
2146914,16,0,,,33,33
2146915,17,3,1,12.5,7,7
2146916,17,0,,,46,46
2146917,17,0,,,46,46
2146918,13,0,,,17,17
2146919,10,0,,,216,216
2146920,17,8,1,100,,0
2146921,10,2,22,47.826086957,24,24
2146922,10,8,14,93.333333333,1,1
2146923,10,8,10,100,,0
2146924,10,2,56,29.787234043,132,132
2146925,17,0,,,,0
2146926,10,2,35,50,35,35
2146927,10,8,10,100,,0
2146928,10,8,10,100,,0
2146929,10,2,33.97,73.847826087,12.03,12.03
2146930,17,0,,,,0
2146931,10,8,38,34.545454545,72,72
2146932,17,0,,,4.13,4.13
2146933,9,0,,,3,3
2146934,10,2,50,71.428571429,20,20
2146935,9,0,,,6,6
2146936,16,0,,,,0
2146937,10,3,94,69.62962963,41,41
2146938,17,3,9,19.565217391,37,37
2146939,9,0,,,6,6
2146940,13,0,,,24,24
2146941,9,0,,,6,6
2146942,9,0,,,6,6
2146943,17,3,9,19.565217391,37,37
2146944,10,3,30,38.461538462,48,48
2146945,17,0,,,24,24
2146946,17,5,6.38,63.8,3.62,3.62
2146947,16,0,,,46,46
2146948,10,2,85.77,98.586206897,1.23,1.23
2146949,10,0,,,37,37
2146950,17,0,,,10,10
2146951,15,8,5.87,97.833333333,0.13,0.13
2146952,10,3,60,55.555555556,48,48
2146953,10,0,,,60,60
2146954,16,0,,,24,24
2146956,17,0,,,77.12,77.12
2146957,16,8,6,16.666666667,30,30
2146958,16,5,10,14.285714286,60,60
2146959,10,7,36,42.857142857,48,48
2146960,17,0,,,8,8
2146961,10,0,,,60,60
2146962,10,0,,,120,120
2146963,7,8,42,38.888888889,66,66
2146964,10,0,,,37,37
2146965,15,8,8,80,,2
2146966,10,0,,,63,63
2146967,10,2,30,30,70,70
2146968,17,0,,,12.03,12.03
2146969,17,0,,,12,12
2146970,17,0,,,13,13
2146971,10,0,,,37,37
2146972,13,8,30,34.482758621,57,57
2146973,10,7,12,66.666666667,2,6
2146974,10,2,60,44.444444444,75,75
2146975,17,0,,,1.3,1.3
2146976,17,0,,,5,5
2146977,17,0,,,2,2
2146978,16,,,,0.0328515112,0.0328515112
2146979,16,,,,0.0328515112,0.0328515112
2146980,16,,,,0.0328515112,0.0328515112
2146981,16,,,,0.0328515112,0.0328515112
2146982,9,0,,,,0
2146983,10,0,,,63,63
2146984,10,0,,,81,81
2146985,10,2,10,14.285714286,60,60
2146986,25,8,9,33.333333333,18,18
2146987,13,2,22,23.913043478,70,70
2146988,16,0,,,,12
2146989,10,8,10,21.739130435,36,36
2146990,12,0,,,470,470
2146991,17,3,14,18.181818182,63,63
2146993,10,2,46,100,,0
2146994,13,7,110,58.510638298,78,78
2146995,17,0,,,0.0328515112,0.0328515112
2146996,13,0,,,60,60
2146997,10,0,,,100,100
2146998,17,8,33.97,73.847826087,12.03,12.03
2147000,16,2,16,34.782608696,30,30
2147001,16,2,40.967148489,99.919874363,0.0328515112,0.0328515112
2147002,16,2,9,33.333333333,18,18
2147004,16,0,,,97,97
2147005,17,0,,,16,16
2147007,1,0,,,16,16
2147009,17,0,,,36,36
2147011,11,8,4,22.222222222,14,14
